id,status,chars,lines,attempts,last_attempt,note
98635871-6276-41e4-ad95-172485704a2c,ok,11052,139,1,2026-08-31T15:00:57Z,
991a8f63-65fa-4790-8de1-d09deeed8643,failed,0,706,1,2026-08-31T20:30:49Z,blocked (cookie/JS wall)
99b96750-4604-4ae8-8e56-d3c3287cc493,failed,0,230,1,2026-08-31T17:30:48Z,blocked (cookie/JS wall)
9b8c84ef-c762-4da1-9f47-56e4a62375d5,ok,5937,94,1,2026-08-31T16:31:03Z,
9e0c7c74-d962-4dfd-a375-9f08ad8329ae,failed,0,12,1,2026-08-31T21:57:50Z,only_12_lines
9e9b2cdb-3e51-4478-8b33-4281c7b2a565,failed,0,4,1,2026-08-31T19:01:00Z,only_4_lines
9f3c0656-6cef-4be9-9103-18c13986bef8,failed,0,4,1,2026-08-31T17:00:55Z,only_4_lines
9f4e4614-b132-4a36-8ec6-51a051c0ef58,failed,0,4,1,2026-08-31T16:31:03Z,only_4_lines
9fc8a614-08fa-458a-ae94-17287abd6840,failed,0,9,1,2026-08-31T20:30:49Z,only_9_lines
a07da328-cad2-4ede-bbbb-87ffe48211e5,ok,7847,114,1,2026-08-31T14:00:46Z,
a2c969ec-510a-42ad-b323-d47c5bc5a702,failed,0,511,1,2026-08-31T21:57:50Z,blocked (cookie/JS wall)
a449e924-cf5c-473e-b0a4-29943b45a868,failed,0,3,1,2026-08-31T21:00:45Z,only_3_lines
a74844d5-7c95-4e92-aea0-75ab011fb0e1,ok,13490,129,1,2026-09-01T05:39:09Z,
a767329d-41e2-4902-a15c-d28cb21ad5e1,ok,1271,49,1,2026-08-31T13:31:31Z,
a7d8ee7d-d813-4aac-afa0-b2cc56b8b7f6,failed,0,9,1,2026-08-31T17:00:55Z,only_9_lines
a9ad290c-9dc0-40d2-9e6e-d0a330be60dd,failed,0,8,1,2026-08-31T19:33:25Z,only_8_lines
a9b6e0e0-7d76-45b2-8d3b-c8a40a8342cd,failed,0,26,1,2026-08-31T13:31:31Z,only_26_lines
abf4c581-31e3-4e0b-96a4-1451bdb4e8af,ok,5143,54,1,2026-08-31T17:00:55Z,
ac037a9c-f763-4262-beaf-c091d10bf894,ok,9634,117,1,2026-09-01T05:39:09Z,
ae61434b-9142-44d7-96d5-7e8a5731372f,failed,0,4,1,2026-08-31T16:31:03Z,only_4_lines
aec4ad25-f3ea-4386-99cc-b24aaa5e5926,failed,0,4,1,2026-08-31T17:09:24Z,only_4_lines
aede4467-5907-43aa-850b-9d6349575538,ok,12091,130,1,2026-08-31T17:09:24Z,
afda33ed-c25b-4bcb-9bd7-a14d3fb2d0f2,failed,0,4,1,2026-08-31T21:31:22Z,only_4_lines
b18a5562-25bb-4955-af90-8975c5252b03,ok,8332,109,1,2026-09-01T05:39:09Z,
b2905e3d-2dad-4ffd-a2cc-2b8c1aa04707,failed,0,3,1,2026-08-31T17:00:55Z,only_3_lines
b364c68b-8fda-447b-b50d-dfa7fcd4039f,failed,0,4,1,2026-08-31T14:00:46Z,only_4_lines
b376bf1f-e11d-4aeb-8c2f-5ab4f716191f,failed,0,10,1,2026-08-31T21:00:45Z,only_10_lines
b70cf0fc-1a6d-451a-a737-885a6a68884f,failed,0,10,1,2026-08-31T18:31:00Z,only_10_lines
b7154b79-2d09-4d3d-8208-f32ccf9b1d14,failed,0,4,1,2026-08-31T18:00:50Z,only_4_lines
b71c1aa2-4ccb-420a-a53e-cd09d3d3ba63,failed,0,4,1,2026-08-31T18:00:50Z,only_4_lines
b7962d2f-67df-4058-bbd5-91dc4be202c4,ok,5017,89,1,2026-08-31T13:31:31Z,
b8824703-fe69-4f28-b705-68510ab904db,failed,0,3,1,2026-08-31T20:30:49Z,only_3_lines
b9669146-88c3-4c3b-8c92-5d6ade8bdaf5,failed,0,12,1,2026-08-31T18:31:00Z,only_12_lines
bb78f0cb-d806-4ae3-8996-ed333399cb6b,ok,8123,106,1,2026-09-03T17:03:21Z,
bf242ed9-9919-4627-bcd1-35178762d9c5,ok,8765,111,1,2026-08-31T15:00:57Z,
c07d8789-5d37-4216-93ce-d2d8035adb7d,ok,10994,122,1,2026-08-31T15:00:57Z,
c117ba86-33e1-47f4-8f2d-47273cec8534,ok,9704,118,1,2026-09-01T05:39:09Z,
c1260e8d-9824-4174-9668-7f4e1627e756,failed,0,3,1,2026-08-31T18:00:50Z,only_3_lines
c2308ec8-a80e-4bb3-ae50-a835b8c50958,failed,0,9,1,2026-08-31T14:00:46Z,only_9_lines
c344d643-aa8d-4d64-a497-67a78ca63dc9,ok,13215,139,1,2026-08-31T14:00:46Z,
c49d403e-9c01-4e02-bbf3-31cbc36e6522,ok,11335,146,1,2026-08-31T17:00:55Z,
c623e3d0-43d6-4ba5-93dc-077ec55a1bb3,failed,0,4,1,2026-08-31T20:30:49Z,only_4_lines
c630373c-97e1-47cf-a4b8-5348a77da451,ok,7904,81,1,2026-08-31T16:31:03Z,
